ลำดับ,รหัสการประเมิน,ผู้ประเมิน / บทบาท,วันที่บันทึก,🎨 UX/UI Design (เต็ม 10),👤 บัญชีเดียว One Account (เต็ม 10),📋 Order & Live Queue (เต็ม 10),🏪 Merchant CRM (เต็ม 10),🛡️ Security & PDPA (เต็ม 10),คะแนนเฉลี่ยรวม (เต็ม 10.0),ข้อเสนอแนะเกี่ยวกับสถาปัตยกรรมระบบ
1,eval_1786631926762,"anime manga",2026-08-13,7.5,9.5,10,10,9,9.20,""
2,eval_kku_001,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะมนุษยศาสตร์และสังคมศาสตร์)",2026-09-02,9,9,10,10,9.5,9.50,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
3,eval_kku_002,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะสถาปัตยกรรมศาสตร์)",2026-09-03,10,10,10,10,10,10.00,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
4,eval_kku_003,"นักศึกษาชั้นปีที่ 4 (คณะเกษตรศาสตร์)",2026-09-04,10,10,10,10,9.5,9.90,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
5,eval_kku_004,"นักศึกษาชั้นปีที่ 1 (คณะศึกษาศาสตร์)",2026-09-05,10,9.5,10,10,10,9.90,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
6,eval_kku_005,"นักศึกษาชั้นปีที่ 4 (คณะแพทยศาสตร์)",2026-09-06,10,9.5,10,10,10,9.90,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
7,eval_kku_006,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะบริหารธุรกิจและการบัญชี)",2026-09-07,10,9.5,9.5,9,10,9.60,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
8,eval_kku_007,"นักศึกษาชั้นปีที่ 4 (วิทยาลัยการคอมพิวเตอร์)",2026-09-08,10,9.5,9,10,9.5,9.60,"UI/UX ออกแบบตามหลัก Responsive Web Design ใช้งานได้สมบูรณ์ทั้งมือถือ แท็บเล็ต และคอมพิวเตอร์"
9,eval_kku_008,"นักศึกษาชั้นปีที่ 2 (คณะวิศวกรรมศาสตร์)",2026-09-09,9,9.5,10,10,10,9.70,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
10,eval_kku_009,"อาจารย์ / บุคลากร (คณะวิศวกรรมศาสตร์)",2026-09-10,10,9.5,9,10,9.5,9.60,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
11,eval_kku_01,"นักศึกษาชั้นปีที่ 2 (AI มข.)",2026-09-10,9.5,9.5,10,10,9,9.60,"สถาปัตยกรรมระบบคิวแบบแยกสถานะทำได้ดีมาก หน้าจอ Live Queue อัปเดตสถานะอาหารตามจริง ไม่ดีเลย์"
12,eval_kku_010,"อาจารย์ / บุคลากร (คณะแพทยศาสตร์)",2026-09-11,10,10,9.5,9.5,10,9.80,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
13,eval_kku_011,"นักศึกษาชั้นปีที่ 4 (คณะวิศวกรรมศาสตร์)",2026-09-12,10,10,10,9,9.5,9.70,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
14,eval_kku_012,"นักศึกษาชั้นปีที่ 2 (คณะมนุษยศาสตร์และสังคมศาสตร์)",2026-09-13,9.5,10,9.5,9,9.5,9.50,"ชอบระบบบัญชีเดียวที่มีสิทธิ์แยกชัดเจน และมีระบบแจ้งเตือนเสียงตอนอาหารเสร็จ สะดวกมาก"
15,eval_kku_013,"นักศึกษาชั้นปีที่ 1 (คณะเกษตรศาสตร์)",2026-09-14,9.5,9.5,10,9,9.5,9.50,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
