ลำดับ,รหัสแบบประเมิน,ชั้นปี / กลุ่มตัวอย่าง,คณะ / สังกัด,วันที่ประเมิน,ข้อ 1 (ความง่ายในการใช้งาน),ข้อ 2 (ระบบสมาชิก),ข้อ 3 (การค้นหา),ข้อ 4 (ข้อมูลเมนู),ข้อ 5 (ระบบคิวล่วงหน้า),ข้อ 6 (ความถูกต้องของคิว),ข้อ 7 (การแจ้งเตือน),ข้อ 8 (ความรวดเร็ว),ข้อ 9 (ความเสถียร),ข้อ 10 (ความปลอดภัย & PDPA),ข้อ 11 (ระบบชำระเงิน),ข้อ 12 (ประโยชน์การใช้งาน),ข้อ 13 (ความพึงพอใจโดยรวม),ข้อ 14 (ความตั้งใจใช้งานต่อ),ข้อ 15 (การบอกต่อแนะนำ),คะแนนเฉลี่ย (เต็ม 5.00),ร้อยละความพึงพอใจ (%),ระดับความพึงพอใจ,ข้อเสนอแนะเพิ่มเติม
1,survey_kku_001,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-02,5,3,4,5,5,4,4,5,5,4,4,5,4,4,5,4.40,88.0,"มาก","ระบบไม่ค้าง โหลดหน้าเว็บเร็ว ใช้งานผ่าน Safari บน iPad และ Chrome บนมือถือได้เสถียรมาก"
2,survey_kku_002,"นักศึกษาชั้นปีที่ 4","คณะเกษตรศาสตร์",2026-09-03,4,4,5,5,4,5,5,5,5,5,5,5,3,4,5,4.60,92.0,"มากที่สุด","หน้าจอคิวบอกเวลาโดยประมาณได้ใกล้เคียงความจริงมาก ช่วยวางแผนเวลาพักเที่ยงได้ดีเยี่ยม"
3,survey_kku_003,"อาจารย์ / บุคลากร","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-04,5,5,5,4,5,5,3,5,4,5,5,5,5,4,4,4.60,92.0,"มากที่สุด","ใช้ง่ายมากค่ะ ล็อกอินสะดวกรวดเร็ว ระบบแจ้งเตือนเสียง Chime ตอนอาหารพร้อมรับทำให้ไม่ต้องคอยเปิดจอมือถือดูตลอดเวลา"
4,survey_kku_004,"นักศึกษาชั้นปีที่ 2","คณะสถาปัตยกรรมศาสตร์",2026-09-05,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4.67,93.3,"มากที่สุด","ความปลอดภัยของข้อมูลดี มีการแจ้ง PDPA ชัดเจน ชอบที่ปรับโปรไฟล์ตัวเองได้ง่ายและมีระบบแจ้งเตือนภูมิแพ้"
5,survey_kku_005,"นักศึกษาชั้นปีที่ 2","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมคอมพิวเตอร์",2026-09-06,5,3,5,5,5,4,4,5,5,4,4,5,5,4,5,4.53,90.7,"มากที่สุด","สเตตัสคิวเรียลไทม์ตรงกับที่จอครัวร้านค้าทำอาหารเลยครับ ทดสอบแล้วลื่นไหลดีมาก"
6,survey_kku_006,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-07,5,3,5,5,5,4,5,5,5,5,5,5,3,5,4,4.60,92.0,"มากที่สุด","แอปพลิเคชันสมบูรณ์แบบมากครับ จะแนะนำให้เพื่อนในสาขาและอาจารย์ดาวน์โหลดใช้งานแน่นอนครับ"
7,survey_kku_007,"อาจารย์ / บุคลากร","คณะเภสัชศาสตร์",2026-09-08,5,4,4,5,4,5,5,3,5,5,5,5,3,5,4,4.47,89.3,"มาก","ฟังก์ชันตั๋วคิวบัตรดิจิทัลดูเป็นมืออาชีพ มีเลขคิวและชื่อร้านชัดเจน"
8,survey_kku_008,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะมนุษยศาสตร์และสังคมศาสตร์",2026-09-09,4,4,5,4,5,5,5,4,5,5,5,5,4,5,4,4.60,92.0,"มากที่สุด","ชอบตรงที่ไม่ต้องดาวน์โหลดแอปให้เปลืองพื้นที่มือถือ ล็อกอินผ่าน Google ครั้งเดียวจบ"
9,survey_kku_009,"นักศึกษาชั้นปีที่ 1","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-10,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4.80,96.0,"มากที่สุด","ฟังก์ชันตั๋วคิวบัตรดิจิทัลดูเป็นมืออาชีพ มีเลขคิวและชื่อร้านชัดเจน"
10,survey_kku_01,"นักศึกษาชั้นปีที่ 2","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-02,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4.87,97.3,"มากที่สุด","ชอบระบบจองคิวล่วงหน้ามากครับ ช่วงพักเที่ยงโรงอาหารคอมแออัดมาก พอใช้ QueueUp ช่วยให้กะเวลาไปรับข้าวได้เป๊ะ ไม่ต้องไปยืนรอนาน"
